,item_id,retailer_id,Walmart_Url,Comp_Url
1,999541784,b09bltkrjh,https://www.walmart.com/ip/999541784?selected=true,https://www.amazon.com/dp/b09bltkrjh?th=1&psc=1
2,999237347,b099p34nz2,https://www.walmart.com/ip/999237347?selected=true,https://www.amazon.com/dp/b099p34nz2?th=1&psc=1
3,999072742,b01n0ss24n,https://www.walmart.com/ip/999072742?selected=true,https://www.amazon.com/dp/b01n0ss24n?th=1&psc=1
4,999541784,b092cvlmqm,https://www.walmart.com/ip/999541784?selected=true,https://www.amazon.com/dp/b092cvlmqm?th=1&psc=1
5,998526254,b01mtdadqp,https://www.walmart.com/ip/998526254?selected=true,https://www.amazon.com/dp/b01mtdadqp?th=1&psc=1
6,997694357,b00kgi5ixu,https://www.walmart.com/ip/997694357?selected=true,https://www.amazon.com/dp/b00kgi5ixu?th=1&psc=1
7,997560727,486474259,https://www.walmart.com/ip/997560727?selected=true,https://www.amazon.com/dp/486474259?th=1&psc=1
8,996900990,b0b92pt63p,https://www.walmart.com/ip/996900990?selected=true,https://www.amazon.com/dp/b0b92pt63p?th=1&psc=1
9,995631538,b0bg4bkg62,https://www.walmart.com/ip/995631538?selected=true,https://www.amazon.com/dp/b0bg4bkg62?th=1&psc=1
10,995160301,b088d2t69r,https://www.walmart.com/ip/995160301?selected=true,https://www.amazon.com/dp/b088d2t69r?th=1&psc=1
11,995130589,b0b1467kzg,https://www.walmart.com/ip/995130589?selected=true,https://www.amazon.com/dp/b0b1467kzg?th=1&psc=1
12,995107701,b009oxcrz0,https://www.walmart.com/ip/995107701?selected=true,https://www.amazon.com/dp/b009oxcrz0?th=1&psc=1
13,994991655,b08l8221mp,https://www.walmart.com/ip/994991655?selected=true,https://www.amazon.com/dp/b08l8221mp?th=1&psc=1
14,994944506,b09873rkgf,https://www.walmart.com/ip/994944506?selected=true,https://www.amazon.com/dp/b09873rkgf?th=1&psc=1
15,994331679,b00407ttpg,https://www.walmart.com/ip/994331679?selected=true,https://www.amazon.com/dp/b00407ttpg?th=1&psc=1
16,993759116,b08qfrfbjr,https://www.walmart.com/ip/993759116?selected=true,https://www.amazon.com/dp/b08qfrfbjr?th=1&psc=1
17,993589130,b0c3gk39mx,https://www.walmart.com/ip/993589130?selected=true,https://www.amazon.com/dp/b0c3gk39mx?th=1&psc=1
18,993487154,b089748pt1,https://www.walmart.com/ip/993487154?selected=true,https://www.amazon.com/dp/b089748pt1?th=1&psc=1
19,999541784,b098f6f2k4,https://www.walmart.com/ip/999541784?selected=true,https://www.amazon.com/dp/b098f6f2k4?th=1&psc=1
